regression_lookback,regression_timeframe,sl_multiplier,tp_multiplier,min_gap_atr_ratio,gate_mode,band_k,n_trades,n_candidate_bars,pf,total_pnl
20,15min,7.0,8.0,0.25,position,2.5,2,195,1.3204419889502763,232.0
100,15min,7.0,8.0,0.25,slope,1.5,65,6421,1.3157302467647296,4910.0
150,15min,3.0,6.0,0.25,combined,2.0,3,315,1.3151969981238274,168.0
20,5min,3.0,8.0,0.25,slope,1.5,172,15604,1.3105967656394708,9809.5
10,5min,5.0,8.0,0.35,slope,1.5,74,18195,1.309702216873083,5982.75
20,5min,3.0,6.0,0.25,combined,1.5,23,2279,1.3084101110323647,1305.5
20,15min,7.0,8.0,0.35,slope,1.5,49,11452,1.3076815715556795,4409.0
20,15min,5.0,10.0,0.35,slope,1.5,49,11400,1.3032412158758,4062.75
20,5min,3.0,6.0,0.25,slope,1.5,176,15856,1.301846602032985,9636.0
10,5min,7.0,8.0,0.25,slope,1.5,160,15150,1.2997075520385344,10888.75
20,5min,7.0,10.0,0.25,slope,1.5,155,14237,1.2975386282430237,10846.25
150,15min,7.0,6.0,0.35,slope,1.5,29,7313,1.2960692502002342,2402.75
20,5min,3.0,6.0,0.35,slope,1.5,83,18749,1.2943716395539115,5351.75
20,15min,5.0,10.0,0.25,position,2.0,4,616,1.2830310880829014,327.75
10,5min,5.0,6.0,0.35,slope,1.5,74,18343,1.2829624843516536,5255.25
10,15min,7.0,8.0,0.25,slope,1.5,145,12657,1.281701438770227,9657.5
20,5min,5.0,8.0,0.25,combined,2.0,10,869,1.281360575276795,616.25
150,15min,7.0,10.0,0.25,slope,1.5,57,6064,1.2755568046090073,3922.0
20,5min,7.0,6.0,0.35,slope,1.5,78,18011,1.267354127672437,5749.25
20,15min,7.0,8.0,0.25,slope,1.5,101,9103,1.2651626823901387,6206.0
20,5min,5.0,6.0,0.25,slope,1.5,161,14921,1.261803338145459,9203.5
150,15min,7.0,6.0,0.25,slope,1.5,61,6309,1.2614529858990189,4023.5
150,15min,7.0,10.0,0.35,slope,1.5,30,7091,1.2609677334663552,2485.0
20,5min,5.0,6.0,0.25,combined,2.0,10,869,1.2568807339449541,560.0
20,5min,5.0,8.0,0.25,slope,1.5,156,14694,1.256582593250444,9028.5
10,15min,3.0,8.0,0.25,slope,1.5,159,14034,1.2515133072342666,7645.25
10,5min,3.0,6.0,0.25,combined,1.5,19,2190,1.249894588896697,889.0
10,15min,3.0,6.0,0.25,slope,1.5,164,14216,1.2380917915188947,7401.5
10,15min,7.0,6.0,0.25,slope,1.5,150,12927,1.2369206016985954,8320.0
10,5min,7.0,6.0,0.25,slope,1.5,165,15475,1.2364149847441899,8852.5
100,5min,7.0,10.0,0.25,position,2.0,4,582,1.2298237476808906,247.75
20,5min,3.0,8.0,0.25,combined,2.5,4,246,1.2183534005857468,167.75
100,15min,7.0,6.0,0.35,slope,1.5,38,7378,1.2181265097969043,2438.0
100,15min,7.0,10.0,0.35,slope,1.5,39,7301,1.2163816845317112,2730.25
10,5min,5.0,10.0,0.35,slope,1.5,74,18152,1.2128524192937733,4216.5
20,15min,7.0,10.0,0.25,slope,1.5,98,8957,1.2111900179199575,4773.0
20,5min,7.0,10.0,0.35,slope,1.5,77,17627,1.2095707113682777,4925.75
20,5min,3.0,10.0,0.25,slope,1.5,172,15377,1.2083976347273366,6819.5
10,15min,5.0,6.0,0.35,slope,1.5,73,15995,1.207339104252917,4131.75
20,5min,7.0,8.0,0.25,combined,2.0,10,869,1.2063185041908446,480.0
10,5min,7.0,8.0,0.35,slope,1.5,74,18040,1.2042832845456966,4414.0
10,5min,7.0,10.0,0.25,slope,1.5,158,14771,1.1901945117734345,7081.75
20,15min,7.0,10.0,0.35,slope,1.5,49,11378,1.1891969568892646,2797.75
20,5min,7.0,10.0,0.25,position,1.5,26,2976,1.1870975073869232,1234.75
20,15min,5.0,6.0,0.35,slope,1.5,49,11504,1.1867344004600786,2435.25
10,5min,7.0,6.0,0.35,slope,1.5,74,18292,1.1834188220742843,3781.5
20,5min,7.0,6.0,0.25,combined,2.0,10,869,1.1829465731246627,423.75
20,15min,5.0,6.0,0.35,combined,1.5,2,676,1.1794871794871795,77.0
10,15min,7.0,10.0,0.25,slope,1.5,142,12333,1.1727331511649737,6210.75
10,5min,5.0,8.0,0.25,slope,1.5,156,15006,1.1718064735850762,6179.75
20,15min,7.0,6.0,0.25,slope,1.5,105,9189,1.1717843004533055,4187.5
10,15min,5.0,6.0,0.25,slope,1.5,151,13080,1.17157670282336,6014.75
10,15min,5.0,8.0,0.25,slope,1.5,145,12910,1.1707264027838191,5887.5
100,5min,7.0,6.0,0.25,position,2.5,3,286,1.1681629834254144,121.75
150,5min,7.0,6.0,0.25,position,2.0,3,405,1.1681629834254144,121.75
150,5min,7.0,6.0,0.25,position,2.5,3,281,1.1681629834254144,121.75
10,15min,3.0,6.0,0.35,slope,1.5,78,16931,1.1620525921195124,2918.0
100,15min,5.0,8.0,0.25,slope,1.5,65,6526,1.1617356057704584,2533.75
10,15min,3.0,10.0,0.25,slope,1.5,159,13842,1.1568834174917362,4947.75
100,15min,5.0,6.0,0.25,position,1.5,6,643,1.1514077574325654,192.25
20,15min,3.0,8.0,0.25,combined,1.5,4,667,1.1506904955320878,92.75
150,15min,5.0,8.0,0.25,slope,1.5,58,6342,1.1492149553823563,2311.75
10,15min,5.0,8.0,0.35,slope,1.5,73,15799,1.1414154317833418,3044.25
150,5min,3.0,10.0,0.25,position,2.5,3,300,1.1385054735840077,145.5
150,5min,3.0,10.0,0.25,position,2.0,3,434,1.1385054735840077,145.5
100,5min,3.0,10.0,0.25,position,2.5,3,305,1.1385054735840077,145.5
20,15min,5.0,6.0,0.25,position,2.5,2,195,1.1383147853736089,87.0
20,15min,3.0,10.0,0.25,position,2.0,4,616,1.1341868183973447,141.5
100,5min,7.0,6.0,0.25,position,1.5,7,981,1.1329777100400076,174.5
20,15min,7.0,8.0,0.35,combined,1.5,2,676,1.1285475792988313,77.0
10,5min,7.0,6.0,0.25,combined,2.0,2,497,1.1235795454545454,87.0
10,5min,7.0,10.0,0.35,slope,1.5,74,17997,1.122301914113761,2702.75
20,5min,3.0,10.0,0.35,slope,1.5,82,18587,1.12216805644644,2380.75
100,15min,7.0,10.0,0.25,slope,1.5,65,6358,1.1188713879677878,2007.5
20,5min,7.0,8.0,0.25,position,1.5,27,2978,1.1184170929882635,787.0
100,15min,7.0,6.0,0.25,slope,1.5,67,6491,1.116783556486626,1923.25
150,15min,5.0,6.0,0.25,slope,1.5,60,6371,1.1142994936098385,1777.5
10,5min,5.0,6.0,0.25,slope,1.5,161,15187,1.1071988170416545,3951.0
10,15min,7.0,6.0,0.35,slope,1.5,73,15943,1.1032721897466908,2305.5
100,15min,5.0,6.0,0.25,slope,1.5,67,6575,1.094468396519083,1484.5
20,5min,3.0,10.0,0.25,position,2.0,14,1182,1.0933446375582874,275.25
20,5min,5.0,10.0,0.25,slope,1.5,154,14387,1.0887595319089214,3320.25
10,5min,3.0,6.0,0.25,slope,1.5,174,16149,1.0876630506390268,2994.0
10,5min,3.0,8.0,0.25,slope,1.5,170,15949,1.0874915164212577,2965.0
20,15min,7.0,6.0,0.35,slope,1.5,49,11482,1.0810927863626913,1170.25
100,15min,3.0,8.0,0.35,slope,1.5,43,7529,1.0774058577405858,888.0
20,15min,5.0,8.0,0.25,position,2.0,4,616,1.075777202072539,87.75
10,15min,3.0,8.0,0.35,slope,1.5,78,16774,1.0730376951790126,1389.25
20,5min,5.0,10.0,0.25,position,1.5,26,2947,1.0725273195517506,521.0
10,5min,3.0,8.0,0.25,position,1.5,28,2886,1.0723519688043064,426.75
20,15min,5.0,6.0,0.25,slope,1.5,102,9100,1.0712593516209477,1714.5
20,15min,3.0,6.0,0.25,slope,1.5,110,9714,1.0690512125097875,1521.25
10,5min,3.0,10.0,0.25,position,1.5,28,2886,1.0600601873437037,354.25
20,5min,3.0,10.0,0.25,position,1.5,27,3006,1.0548957065513913,327.0
10,15min,5.0,10.0,0.25,slope,1.5,143,12630,1.0527847653894928,1904.25
100,5min,3.0,6.0,0.25,slope,1.5,79,7499,1.0467360484598531,725.25
20,15min,3.0,8.0,0.25,slope,1.5,107,9642,1.0448061945299765,989.5
20,15min,5.0,8.0,0.25,slope,1.5,98,9047,1.0382209006999938,925.5
10,15min,7.0,8.0,0.35,slope,1.5,73,15643,1.0319474478762904,783.0
10,5min,5.0,10.0,0.25,slope,1.5,155,14723,1.0293513847144697,1093.75
150,5min,5.0,8.0,0.35,slope,1.5,34,6535,1.0251410472136988,254.0
20,5min,3.0,10.0,0.25,position,2.5,5,364,1.020701677925474,23.75
100,5min,3.0,10.0,0.25,slope,1.5,75,7407,1.0204294944887875,322.5
20,15min,7.0,10.0,0.25,position,2.0,4,616,1.0155502392344498,22.75
100,5min,7.0,8.0,0.25,position,2.0,4,582,1.0071892393320965,7.75
100,15min,7.0,6.0,0.25,combined,1.5,3,541,1.0040376850605652,3.0
20,5min,7.0,6.0,0.25,position,1.5,27,2978,0.9989827826545605,-6.75
20,5min,3.0,8.0,0.25,position,1.5,28,3014,0.9953995847412775,-28.25
100,5min,5.0,10.0,0.25,slope,1.5,71,7130,0.9952922055176472,-84.0
100,5min,3.0,10.0,0.25,position,2.0,4,601,0.9929431299294313,-8.5
20,5min,3.0,8.0,0.25,position,2.0,14,1182,0.9924544298431539,-22.25
20,15min,7.0,6.0,0.25,position,2.5,2,195,0.988950276243094,-8.0
10,5min,3.0,10.0,0.25,slope,1.5,170,15681,0.9784325530332543,-761.25
100,15min,5.0,10.0,0.25,slope,1.5,65,6471,0.9764963961140708,-393.75
20,5min,5.0,8.0,0.25,position,1.5,27,2956,0.9753923205342238,-184.25
10,5min,3.0,6.0,0.35,slope,1.5,78,18807,0.9715943759980267,-547.0
150,15min,7.0,10.0,0.25,position,2.0,3,358,0.9699918896999189,-37.0
100,5min,3.0,8.0,0.25,slope,1.5,75,7486,0.9666634993031801,-526.25
100,5min,5.0,6.0,0.25,slope,1.5,74,7249,0.9664850798553025,-586.0
20,5min,3.0,6.0,0.25,position,2.0,14,1182,0.9630763995235665,-108.5
10,5min,3.0,10.0,0.25,position,2.0,4,668,0.9602774274905422,-47.25
150,15min,3.0,8.0,0.35,slope,1.5,34,7584,0.9598731008501251,-404.75
100,15min,3.0,6.0,0.35,slope,1.5,42,7575,0.957115366993494,-468.0
10,5min,3.0,8.0,0.35,slope,1.5,78,18669,0.950866137746903,-970.75
150,5min,5.0,10.0,0.35,slope,1.5,34,6517,0.949128176590614,-548.5
20,5min,3.0,6.0,0.25,position,2.5,5,364,0.9428320140721196,-65.0
20,15min,5.0,10.0,0.25,slope,1.5,95,8919,0.940025894261532,-1401.25
10,5min,3.0,6.0,0.25,position,1.5,28,2896,0.9372452445652174,-369.5
10,15min,5.0,10.0,0.35,slope,1.5,73,15756,0.9315130354330275,-1554.5
10,5min,7.0,8.0,0.25,position,1.5,26,2795,0.9288333211116815,-485.25
100,5min,5.0,8.0,0.25,slope,1.5,71,7214,0.9281781115579156,-1281.5
20,15min,3.0,10.0,0.25,slope,1.5,105,9547,0.9241979601554801,-1711.25
20,5min,5.0,10.0,0.25,combined,2.5,4,246,0.9233195347920363,-97.25
20,15min,3.0,6.0,0.25,combined,1.5,4,667,0.9151096669374492,-52.25
20,15min,3.0,8.0,0.35,slope,1.5,50,11777,0.9107937650334287,-1177.5
100,5min,7.0,10.0,0.25,slope,1.5,69,6978,0.9104095231933752,-1731.0
150,5min,3.0,8.0,0.25,position,2.5,3,300,0.9100428367444074,-94.5
100,5min,3.0,8.0,0.25,position,2.5,3,305,0.9100428367444074,-94.5
150,5min,3.0,8.0,0.25,position,2.0,3,434,0.9100428367444074,-94.5
20,15min,3.0,8.0,0.25,position,2.0,4,616,0.9065908013276435,-98.5
150,15min,3.0,8.0,0.25,slope,1.5,67,6685,0.90530314227438,-1601.75
20,5min,3.0,6.0,0.25,position,1.5,28,3014,0.9034336514150558,-592.0
10,5min,7.0,10.0,0.25,position,1.5,26,2795,0.9033511769450759,-659.0
10,5min,5.0,8.0,0.25,position,1.5,26,2849,0.901336950203449,-636.5
150,5min,7.0,10.0,0.25,slope,1.5,56,5768,0.8991721990000819,-1537.75
100,15min,3.0,8.0,0.25,slope,1.5,71,6746,0.8968115942028986,-1646.5
150,5min,5.0,10.0,0.25,slope,1.5,56,5803,0.8944106035976492,-1477.75
100,15min,3.0,10.0,0.25,position,1.5,6,644,0.8925373134328358,-144.0
150,15min,5.0,10.0,0.25,slope,1.5,57,6210,0.8904459197094007,-1749.25
10,5min,3.0,8.0,0.25,position,2.0,4,668,0.8877679697351829,-133.5
100,5min,7.0,6.0,0.25,slope,1.5,72,7097,0.886453048627025,-2143.0
150,5min,7.0,8.0,0.35,slope,1.5,34,6475,0.8858383047875639,-1334.75
20,15min,3.0,6.0,0.35,slope,1.5,50,11807,0.8830231600415743,-1491.25
150,15min,3.0,6.0,0.35,slope,1.5,33,7609,0.8823699194458293,-1120.75
10,5min,5.0,10.0,0.25,position,1.5,26,2849,0.8744041852354195,-810.25
100,5min,3.0,6.0,0.35,slope,1.5,38,9124,0.8710016256096036,-1289.5
10,15min,7.0,10.0,0.25,combined,1.5,9,803,0.8698986975397974,-224.75
20,5min,5.0,6.0,0.25,position,1.5,27,2956,0.8692032498579023,-978.0
20,15min,5.0,6.0,0.25,position,2.0,4,616,0.8685233160621761,-152.25
150,5min,3.0,6.0,0.35,slope,1.5,34,6666,0.8676817752596789,-1121.0
10,15min,3.0,10.0,0.35,slope,1.5,78,16735,0.8674438741576418,-2640.75
150,5min,5.0,6.0,0.25,slope,1.5,56,5863,0.8616185036475711,-1835.25
150,15min,3.0,6.0,0.25,slope,1.5,68,6714,0.8611488081189521,-2353.25
100,15min,3.0,6.0,0.25,slope,1.5,72,6801,0.8597108795644419,-2241.75
10,5min,7.0,6.0,0.25,position,1.5,26,2805,0.8576726765321485,-969.0
100,15min,3.0,10.0,0.25,slope,1.5,71,6704,0.8551389058121116,-2377.75
20,5min,5.0,6.0,0.25,combined,2.5,4,246,0.8521462639109698,-186.0
20,15min,7.0,8.0,0.25,position,2.0,4,616,0.8515037593984962,-217.25
10,5min,3.0,10.0,0.35,slope,1.5,78,18630,0.8503259420218282,-3030.75
100,5min,3.0,8.0,0.35,slope,1.5,38,9076,0.8486950939482976,-1532.0
100,5min,7.0,8.0,0.25,slope,1.5,69,7062,0.8484311315261693,-2928.5
20,15min,7.0,6.0,0.35,combined,1.5,2,676,0.8447412353923205,-93.0
100,5min,5.0,8.0,0.35,slope,1.5,36,8767,0.8447039973013999,-1841.5
10,15min,7.0,10.0,0.35,slope,1.5,73,15433,0.8446709505871925,-4030.75
150,5min,5.0,6.0,0.35,slope,1.5,33,6546,0.8433928213354722,-1562.0
150,5min,3.0,10.0,0.25,slope,1.5,59,5930,0.8376575694529433,-1989.75
100,5min,5.0,6.0,0.35,slope,1.5,36,8818,0.8334043823002814,-1954.0
20,5min,5.0,10.0,0.25,position,2.0,13,1179,0.829465731246627,-632.0
10,15min,3.0,10.0,0.25,combined,1.5,9,823,0.829103448275862,-309.75
10,5min,5.0,6.0,0.25,position,1.5,26,2859,0.8233581741965533,-1137.75
10,15min,7.0,8.0,0.25,combined,1.5,9,803,0.8185238784370478,-313.5
20,5min,3.0,8.0,0.25,position,2.5,5,364,0.8158640226628895,-211.25
150,5min,5.0,8.0,0.25,slope,1.5,56,5843,0.8152766117075436,-2585.25
150,5min,3.0,8.0,0.35,slope,1.5,35,6658,0.8149563318777293,-1695.0
150,5min,7.0,8.0,0.25,slope,1.5,56,5808,0.8108187853454635,-2885.25
150,5min,7.0,10.0,0.35,slope,1.5,34,6457,0.8095643059153926,-2407.25
150,5min,3.0,6.0,0.25,slope,1.5,59,5971,0.8071577336677009,-2268.5
20,15min,3.0,10.0,0.35,slope,1.5,50,11707,0.800109829763866,-2730.0
150,15min,7.0,8.0,0.25,combined,1.5,12,1478,0.7966788573687852,-514.25
100,5min,3.0,8.0,0.25,position,2.0,4,601,0.7936903279369033,-248.5
150,15min,7.0,6.0,0.25,combined,1.5,12,1480,0.7907482455273303,-529.25
100,5min,7.0,6.0,0.25,position,2.0,4,582,0.7845547309833024,-232.25
10,15min,3.0,8.0,0.25,combined,1.5,9,823,0.7801379310344828,-398.5
150,5min,3.0,8.0,0.25,slope,1.5,59,5955,0.7770774690980297,-2732.25
100,5min,5.0,10.0,0.35,slope,1.5,36,8746,0.7691632767009652,-2894.0
100,15min,3.0,10.0,0.35,slope,1.5,43,7512,0.7627245357741812,-2935.75
150,15min,3.0,10.0,0.25,slope,1.5,67,6631,0.7602973143538321,-4273.0
20,5min,5.0,8.0,0.25,position,2.0,13,1179,0.7572854830005397,-899.5
20,5min,7.0,10.0,0.25,position,2.0,13,1176,0.7567234906763494,-988.25
150,5min,7.0,6.0,0.25,slope,1.5,56,5828,0.7556415215989684,-3695.25
100,5min,3.0,10.0,0.35,slope,1.5,38,9059,0.746588508911408,-2669.5
